Cache_Size,Block_Size,Associativity,Replacement_Policy,Cache_Hit_Rate
16,2,1,LRU,0.9351
16,2,1,Random,0.9351
16,2,1,NMRU+Random,0.9351
16,2,2,LRU,0.9626
16,2,2,Random,0.9575
16,2,2,NMRU+Random,0.9626
16,2,4,LRU,0.9693
16,2,4,Random,0.9634
16,2,4,NMRU+Random,0.9666
16,2,8,LRU,0.9708
16,2,8,Random,0.9650
16,2,8,NMRU+Random,0.9667
16,2,16,LRU,0.9713
16,2,16,Random,0.9652
16,2,16,NMRU+Random,0.9663
16,4,1,LRU,0.8974
16,4,1,Random,0.8974
16,4,1,NMRU+Random,0.8974
16,4,2,LRU,0.9392
16,4,2,Random,0.9300
16,4,2,NMRU+Random,0.9392
16,4,4,LRU,0.9544
16,4,4,Random,0.9424
16,4,4,NMRU+Random,0.9484
16,4,8,LRU,0.9587
16,4,8,Random,0.9468
16,4,8,NMRU+Random,0.9498
16,4,16,LRU,0.9596
16,4,16,Random,0.9471
16,4,16,NMRU+Random,0.9490
16,8,1,LRU,0.8361
16,8,1,Random,0.8361
16,8,1,NMRU+Random,0.8361
16,8,2,LRU,0.8914
16,8,2,Random,0.8775
16,8,2,NMRU+Random,0.8914
16,8,4,LRU,0.9202
16,8,4,Random,0.8995
16,8,4,NMRU+Random,0.9090
16,8,8,LRU,0.9288
16,8,8,Random,0.9041
16,8,8,NMRU+Random,0.9098
16,8,16,LRU,0.9336
16,8,16,Random,0.9072
16,8,16,NMRU+Random,0.9105
32,2,1,LRU,0.9613
32,2,1,Random,0.9613
32,2,1,NMRU+Random,0.9613
32,2,2,LRU,0.9765
32,2,2,Random,0.9743
32,2,2,NMRU+Random,0.9765
32,2,4,LRU,0.9790
32,2,4,Random,0.9765
32,2,4,NMRU+Random,0.9782
32,2,8,LRU,0.9801
32,2,8,Random,0.9780
32,2,8,NMRU+Random,0.9789
32,2,16,LRU,0.9806
32,2,16,Random,0.9787
32,2,16,NMRU+Random,0.9792
32,4,1,LRU,0.9351
32,4,1,Random,0.9351
32,4,1,NMRU+Random,0.9351
32,4,2,LRU,0.9626
32,4,2,Random,0.9574
32,4,2,NMRU+Random,0.9626
32,4,4,LRU,0.9693
32,4,4,Random,0.9634
32,4,4,NMRU+Random,0.9665
32,4,8,LRU,0.9708
32,4,8,Random,0.9648
32,4,8,NMRU+Random,0.9667
32,4,16,LRU,0.9713
32,4,16,Random,0.9651
32,4,16,NMRU+Random,0.9664
32,8,1,LRU,0.8974
32,8,1,Random,0.8974
32,8,1,NMRU+Random,0.8974
32,8,2,LRU,0.9392
32,8,2,Random,0.9302
32,8,2,NMRU+Random,0.9392
32,8,4,LRU,0.9544
32,8,4,Random,0.9426
32,8,4,NMRU+Random,0.9484
32,8,8,LRU,0.9587
32,8,8,Random,0.9466
32,8,8,NMRU+Random,0.9502
32,8,16,LRU,0.9596
32,8,16,Random,0.9471
32,8,16,NMRU+Random,0.9491
64,2,1,LRU,0.9778
64,2,1,Random,0.9778
64,2,1,NMRU+Random,0.9778
64,2,2,LRU,0.9858
64,2,2,Random,0.9851
64,2,2,NMRU+Random,0.9858
64,2,4,LRU,0.9873
64,2,4,Random,0.9872
64,2,4,NMRU+Random,0.9875
64,2,8,LRU,0.9876
64,2,8,Random,0.9877
64,2,8,NMRU+Random,0.9879
64,2,16,LRU,0.9880
64,2,16,Random,0.9888
64,2,16,NMRU+Random,0.9888
64,4,1,LRU,0.9613
64,4,1,Random,0.9613
64,4,1,NMRU+Random,0.9613
64,4,2,LRU,0.9765
64,4,2,Random,0.9743
64,4,2,NMRU+Random,0.9765
64,4,4,LRU,0.9790
64,4,4,Random,0.9765
64,4,4,NMRU+Random,0.9781
64,4,8,LRU,0.9801
64,4,8,Random,0.9781
64,4,8,NMRU+Random,0.9788
64,4,16,LRU,0.9806
64,4,16,Random,0.9786
64,4,16,NMRU+Random,0.9791
64,8,1,LRU,0.9351
64,8,1,Random,0.9351
64,8,1,NMRU+Random,0.9351
64,8,2,LRU,0.9626
64,8,2,Random,0.9575
64,8,2,NMRU+Random,0.9626
64,8,4,LRU,0.9693
64,8,4,Random,0.9635
64,8,4,NMRU+Random,0.9666
64,8,8,LRU,0.9708
64,8,8,Random,0.9648
64,8,8,NMRU+Random,0.9668
64,8,16,LRU,0.9713
64,8,16,Random,0.9652
64,8,16,NMRU+Random,0.9664
128,2,1,LRU,0.9837
128,2,1,Random,0.9837
128,2,1,NMRU+Random,0.9837
128,2,2,LRU,0.9902
128,2,2,Random,0.9899
128,2,2,NMRU+Random,0.9902
128,2,4,LRU,0.9918
128,2,4,Random,0.9919
128,2,4,NMRU+Random,0.9920
128,2,8,LRU,0.9926
128,2,8,Random,0.9927
128,2,8,NMRU+Random,0.9927
128,2,16,LRU,0.9928
128,2,16,Random,0.9928
128,2,16,NMRU+Random,0.9928
128,4,1,LRU,0.9778
128,4,1,Random,0.9778
128,4,1,NMRU+Random,0.9778
128,4,2,LRU,0.9858
128,4,2,Random,0.9851
128,4,2,NMRU+Random,0.9858
128,4,4,LRU,0.9873
128,4,4,Random,0.9873
128,4,4,NMRU+Random,0.9875
128,4,8,LRU,0.9876
128,4,8,Random,0.9877
128,4,8,NMRU+Random,0.9880
128,4,16,LRU,0.9880
128,4,16,Random,0.9887
128,4,16,NMRU+Random,0.9889
128,8,1,LRU,0.9613
128,8,1,Random,0.9613
128,8,1,NMRU+Random,0.9613
128,8,2,LRU,0.9765
128,8,2,Random,0.9744
128,8,2,NMRU+Random,0.9765
128,8,4,LRU,0.9790
128,8,4,Random,0.9766
128,8,4,NMRU+Random,0.9781
128,8,8,LRU,0.9801
128,8,8,Random,0.9781
128,8,8,NMRU+Random,0.9788
128,8,16,LRU,0.9806
128,8,16,Random,0.9787
128,8,16,NMRU+Random,0.9791
256,2,1,LRU,0.9873
256,2,1,Random,0.9873
256,2,1,NMRU+Random,0.9873
256,2,2,LRU,0.9913
256,2,2,Random,0.9911
256,2,2,NMRU+Random,0.9913
256,2,4,LRU,0.9928
256,2,4,Random,0.9928
256,2,4,NMRU+Random,0.9928
256,2,8,LRU,0.9929
256,2,8,Random,0.9929
256,2,8,NMRU+Random,0.9929
256,2,16,LRU,0.9929
256,2,16,Random,0.9929
256,2,16,NMRU+Random,0.9929
256,4,1,LRU,0.9837
256,4,1,Random,0.9837
256,4,1,NMRU+Random,0.9837
256,4,2,LRU,0.9902
256,4,2,Random,0.9899
256,4,2,NMRU+Random,0.9902
256,4,4,LRU,0.9918
256,4,4,Random,0.9919
256,4,4,NMRU+Random,0.9919
256,4,8,LRU,0.9926
256,4,8,Random,0.9927
256,4,8,NMRU+Random,0.9927
256,4,16,LRU,0.9928
256,4,16,Random,0.9928
256,4,16,NMRU+Random,0.9928
256,8,1,LRU,0.9778
256,8,1,Random,0.9778
256,8,1,NMRU+Random,0.9778
256,8,2,LRU,0.9858
256,8,2,Random,0.9852
256,8,2,NMRU+Random,0.9858
256,8,4,LRU,0.9873
256,8,4,Random,0.9872
256,8,4,NMRU+Random,0.9875
256,8,8,LRU,0.9876
256,8,8,Random,0.9878
256,8,8,NMRU+Random,0.9880
256,8,16,LRU,0.9880
256,8,16,Random,0.9888
256,8,16,NMRU+Random,0.9889
